#file	md5sum	crc32	size
./GCF_021057265.1_ASM2105726v1_ani_contam_ranges.tsv	aa53bbc1df86a50c0c801035a9619dab	d3c585ac	72216
./GCF_021057265.1_ASM2105726v1_ani_report.txt	40d26ef142fd613e17dd741abe2d76e2	c7919330	6278
./GCF_021057265.1_ASM2105726v1_assembly_report.txt	6b478b0d6a8c9a0fa5a5b5483e3d47cc	ab226bce	1453
./GCF_021057265.1_ASM2105726v1_cds_from_genomic.fna	5f03eab43a5d7fb01960c8f5ed582124	1a075121	6197563
./GCF_021057265.1_ASM2105726v1_fcs_report.txt	8fc80b1e0c327bfb3f536b00c7842674	64b06ae5	617
./GCF_021057265.1_ASM2105726v1_genomic.fna	3b8cf9787b232d06e96b46215e95d9e5	0fb4838d	5834008
./GCF_021057265.1_ASM2105726v1_genomic.gbff	5322c55e8f41693b02dd7a6cd3609e6e	862400c3	14639828
./GCF_021057265.1_ASM2105726v1_genomic.gff	21741da9677e19c05b5435cbf7c8ddfc	7680a21c	3354622
./GCF_021057265.1_ASM2105726v1_genomic.gtf	dfbff17378221d5d625b65a93cd7838c	d1849438	8481463
./GCF_021057265.1_ASM2105726v1_protein.faa	8f37a3843c4bbda74152bd3fd36db5f4	4d4a2c63	2037352
./GCF_021057265.1_ASM2105726v1_rna_from_genomic.fna	b813e1beb7fdf638933bc2c81f536cf3	9cbe149e	62127
./GCF_021057265.1_ASM2105726v1_translated_cds.faa	5a49a6718db458bded1dc75eb0bcc896	e0786361	2772337
